Merchant,Amount,Category,Card,Date,Note
Google,283.67,Other,Amex Gold,2025-03-26 12:32:01,Household items
Starbucks,106.24,Food & Drinks,Amex Gold,2024-12-01 08:25:40,
Shopee,126.21,Shopping,Chase Sapphire Preferred,2025-03-05 22:56:04,Household items
Pharmacy,225.59,Health,UOB One,2024-04-06 09:39:06,
Shell,103.15,Travel,UOB One,2025-04-14 11:22:47,Dinner with friends
Concerts,33.43,Entertainment,DBS Live Fresh,2025-02-26 07:03:42,Gift
Zara,1223.33,Shopping,UOB One,2024-08-12 13:42:02,Gift
IKEA,766.81,Shopping,Chase Sapphire Preferred,2025-10-20 12:02:22,Dinner with friends
Netflix,2.08,Services,DBS Live Fresh,2024-12-12 07:55:16,Household items
Google,104.81,Other,DBS Live Fresh,2024-12-30 17:32:15,Monthly subscription
Apple TV+,107.67,Entertainment,DBS Live Fresh,2024-10-06 20:03:10,
Expedia,814.15,Travel,Chase Sapphire Preferred,2025-08-01 07:50:29,Household items
Apple,37.75,Other,Chase Sapphire Preferred,2024-12-03 16:17:51,
Clinic,391.18,Health,Amex Gold,2025-07-31 16:39:30,Hotel deposit
Apple TV+,57.21,Entertainment,DBS Live Fresh,2025-02-23 09:59:02,Hotel deposit
Local Cafe,28.98,Food & Drinks,Chase Sapphire Preferred,2025-10-19 14:21:16,Airport ride
Pharmacy,393.56,Health,Chase Sapphire Preferred,2025-09-05 19:38:28,
Phone Carrier,46.76,Services,Chase Sapphire Preferred,2024-02-06 21:04:32,Airport ride
McDonald's,108.59,Food & Drinks,UOB One,2024-04-08 16:18:42,Groceries
Expedia,275.04,Travel,Amex Gold,2024-02-16 15:29:47,Hotel deposit
Shopee,584.13,Shopping,UOB One,2025-09-21 20:04:25,
Cinema,13.74,Entertainment,UOB One,2024-10-15 11:33:55,
Decathlon,1079.99,Shopping,Chase Sapphire Preferred,2025-10-02 11:12:59,
Phone Carrier,54.03,Services,Amex Gold,2024-03-15 17:16:12,
Clinic,375.28,Health,Chase Sapphire Preferred,2024-12-03 08:46:26,
Apple TV+,43.28,Entertainment,Amex Gold,2024-09-06 13:08:28,Hotel deposit
AirAsia,351.29,Travel,Chase Sapphire Preferred,2024-10-14 12:53:04,Coffee
Dental Care,185.18,Health,UOB One,2024-09-13 17:52:24,Hotel deposit
Qantas,192.02,Travel,UOB One,2024-12-31 09:09:59,Gift
Local Shop,113.02,Other,Chase Sapphire Preferred,2025-06-15 16:13:30,Pharmacy run
Lazada,1271.74,Shopping,DBS Live Fresh,2024-08-14 08:45:33,Groceries
Apple,157.37,Other,Amex Gold,2024-09-20 16:26:01,
Dental Care,69.76,Health,Chase Sapphire Preferred,2024-10-18 12:05:57,Delivery fee
Expedia,845.30,Travel,Amex Gold,2025-03-05 16:35:45,Fuel
Misc Store,169.44,Other,UOB One,2024-03-13 19:36:41,
Arcade,114.56,Entertainment,Amex Gold,2025-03-04 10:59:43,
Shopee,1438.95,Shopping,Chase Sapphire Preferred,2024-02-15 21:14:16,
Local Cafe,5.64,Food & Drinks,Citi Rewards,2025-09-06 18:29:08,Sale promo
Burger King,27.98,Food & Drinks,UOB One,2025-01-10 14:22:18,Hotel deposit
Uniqlo,108.93,Shopping,UOB One,2025-04-22 07:13:47,Pharmacy run
Shell,1094.92,Travel,Amex Gold,2025-10-13 15:31:01,Pharmacy run
AirAsia,1041.93,Travel,UOB One,2024-03-11 12:23:59,Pharmacy run
Google,231.37,Other,Citi Rewards,2024-06-22 22:43:29,Gift
Local Cafe,67.60,Food & Drinks,DBS Live Fresh,2024-11-24 08:05:44,Sale promo
Zara,138.54,Shopping,Amex Gold,2024-10-02 11:00:11,Hotel deposit
Grab,1259.89,Travel,Citi Rewards,2024-05-17 11:44:01,Fuel
Arcade,56.78,Entertainment,DBS Live Fresh,2025-03-01 07:08:22,
IKEA,24.63,Shopping,Chase Sapphire Preferred,2025-02-23 14:25:47,Sale promo
Local Shop,222.68,Other,Citi Rewards,2024-02-16 19:28:18,Airport ride
Uber,518.58,Travel,UOB One,2024-04-13 14:04:23,
Amazon,589.42,Shopping,DBS Live Fresh,2024-10-17 07:43:03,
Apple,85.22,Other,UOB One,2025-07-30 17:43:42,Monthly subscription
Local Shop,121.41,Other,Citi Rewards,2025-10-17 09:32:06,Airport ride
Utilities Co,12.89,Services,Chase Sapphire Preferred,2025-09-08 19:48:50,
Cinema,36.96,Entertainment,Citi Rewards,2025-01-24 17:10:38,Hotel deposit
Expedia,227.59,Travel,DBS Live Fresh,2025-10-01 19:32:10,Household items
Uber,1470.47,Travel,Citi Rewards,2025-07-05 11:31:18,Sale promo
Concerts,49.03,Entertainment,Chase Sapphire Preferred,2024-06-22 15:46:48,Airport ride
Phone Carrier,32.20,Services,Amex Gold,2024-09-18 08:15:19,
Local Shop,57.71,Other,UOB One,2024-09-16 11:11:35,
Spotify,45.58,Services,Citi Rewards,2024-02-29 22:23:32,Fuel
Clinic,155.15,Health,DBS Live Fresh,2025-02-23 19:58:24,Membership renewal
Misc Store,70.79,Other,UOB One,2025-04-12 15:04:32,
Amazon,460.02,Shopping,Citi Rewards,2024-12-04 14:56:15,Gift
Misc Store,87.75,Other,UOB One,2025-09-01 14:22:49,Gift
Grab,1309.39,Travel,Amex Gold,2024-09-13 08:50:10,
Pharmacy,395.02,Health,Chase Sapphire Preferred,2024-03-12 09:05:30,Sale promo
Arcade,89.38,Entertainment,Chase Sapphire Preferred,2025-01-06 15:55:33,
Clinic,254.58,Health,Citi Rewards,2025-02-21 22:00:22,
Clinic,71.90,Health,Chase Sapphire Preferred,2024-12-02 10:42:13,
Cinema,10.13,Entertainment,Citi Rewards,2024-02-18 08:16:04,
Apple,151.46,Other,DBS Live Fresh,2025-09-16 15:53:09,Household items
Local Shop,37.20,Other,DBS Live Fresh,2025-01-04 18:35:52,
Utilities Co,40.41,Services,Amex Gold,2024-03-02 09:34:09,Lunch
Google,197.31,Other,DBS Live Fresh,2025-04-15 14:53:25,Top-up
