Merchant,Amount,Category,Card,Date,Note
Cinema,149.09,Entertainment,Chase Sapphire Preferred,2014-03-02 09:47:06,
Uber,849.62,Travel,DBS Live Fresh,2010-07-05 06:14:32,
Lyft,1303.27,Travel,HSBC Revolution,2019-04-10 11:28:37,Lunch
Clinic,259.34,Health,HSBC Revolution,2014-09-23 08:48:21,Membership renewal
Misc Store,243.47,Other,Citi Rewards,2023-09-25 04:29:34,Membership renewal
Supermart,332.61,Other,Citi Rewards,2020-07-10 19:23:36,Monthly subscription
Google,394.16,Other,Citi Rewards,2024-07-20 09:06:24,Sale promo
Uniqlo,426.92,Shopping,Citi Rewards,2014-07-17 16:43:41,Gift
Expedia,335.17,Travel,Amex Gold,2016-06-15 09:59:40,
Target,1687.28,Shopping,Citi Rewards,2023-03-15 05:52:02,
iCloud,17.67,Services,Chase Sapphire Preferred,2019-08-26 19:20:13,
Adobe,12.29,Services,UOB One,2012-05-17 09:35:34,Delivery fee
AirAsia,446.45,Travel,Citi Rewards,2012-05-09 13:05:48,Fuel
Target,1586.24,Shopping,Amex Gold,2017-03-08 14:24:24,
Phone Carrier,77.72,Services,Citi Rewards,2024-08-23 21:43:46,Dinner with friends
Dental Care,183.17,Health,Chase Sapphire Preferred,2012-09-09 12:46:56,
Shell,1020.29,Travel,Amex Gold,2011-10-24 19:19:53,
Lyft,754.09,Travel,Amex Gold,2012-09-30 13:49:59,Lunch
Grab,48.76,Travel,UOB One,2025-10-22 11:53:51,Groceries
Decathlon,180.45,Shopping,Chase Sapphire Preferred,2018-04-08 18:48:34,
Target,1894.23,Shopping,UOB One,2012-10-23 09:55:38,Household items
Shell,1382.84,Travel,HSBC Revolution,2022-02-17 10:42:41,Weekend trip
Netflix,18.75,Services,Amex Gold,2015-10-02 02:35:14,
Apple,254.29,Other,HSBC Revolution,2013-11-23 05:02:55,Weekend trip
Uniqlo,975.97,Shopping,HSBC Revolution,2019-03-05 07:59:56,
Spotify,64.79,Services,UOB One,2013-03-29 06:42:27,Delivery fee
Adobe,54.20,Services,Chase Sapphire Preferred,2020-12-29 06:25:46,Fuel
IKEA,1077.21,Shopping,Amex Gold,2012-05-21 11:17:29,Monthly subscription
Phone Carrier,5.00,Services,Chase Sapphire Preferred,2019-03-14 18:05:59,
IKEA,976.43,Shopping,UOB One,2013-08-21 19:57:03,Lunch
iCloud,23.53,Services,UOB One,2021-11-07 21:50:35,
Spotify,24.44,Services,Amex Gold,2010-12-30 14:34:03,
Apple,193.33,Other,DBS Live Fresh,2025-08-22 19:10:03,
Google,240.04,Other,Chase Sapphire Preferred,2021-06-27 19:25:07,
Lyft,1193.09,Travel,DBS Live Fresh,2020-07-15 06:42:37,
Subway,134.94,Food & Drinks,Amex Gold,2015-05-07 09:25:08,
KFC,186.02,Food & Drinks,Citi Rewards,2011-03-27 00:39:36,
Supermart,204.82,Other,Amex Gold,2012-04-03 20:56:04,
Subway,89.32,Food & Drinks,Amex Gold,2019-03-30 16:39:51,
Supermart,373.04,Other,Citi Rewards,2011-10-06 20:08:16,Fuel
Steam,56.65,Entertainment,Amex Gold,2020-04-16 09:21:13,
Dental Care,298.23,Health,DBS Live Fresh,2025-05-27 20:03:05,
Dental Care,12.09,Health,Chase Sapphire Preferred,2023-02-13 07:16:10,
Expedia,1126.20,Travel,UOB One,2011-11-27 06:56:44,
Uber,1169.19,Travel,Citi Rewards,2012-07-09 11:02:19,Groceries
McDonald's,52.16,Food & Drinks,HSBC Revolution,2011-10-01 10:35:56,
Expedia,1852.27,Travel,Amex Gold,2014-01-11 19:51:51,Delivery fee
Google,370.17,Other,HSBC Revolution,2023-04-24 20:51:42,
Clinic,103.93,Health,Citi Rewards,2021-12-06 07:55:02,
IKEA,705.82,Shopping,UOB One,2023-12-17 18:14:14,Household items
iCloud,69.28,Services,Citi Rewards,2023-02-27 09:41:32,Hotel deposit
Apple,75.53,Other,Citi Rewards,2014-07-08 03:38:27,Hotel deposit
Phone Carrier,10.14,Services,DBS Live Fresh,2025-04-21 14:16:02,
Supermart,276.31,Other,DBS Live Fresh,2022-08-16 17:12:23,Hotel deposit
Grab,1697.55,Travel,HSBC Revolution,2022-03-31 20:32:19,
KFC,61.24,Food & Drinks,HSBC Revolution,2012-03-01 08:42:24,
Decathlon,608.89,Shopping,DBS Live Fresh,2019-04-28 18:19:18,Hotel deposit
Utilities Co,54.37,Services,UOB One,2018-09-12 12:57:50,
Cinema,104.54,Entertainment,Citi Rewards,2020-10-07 15:05:52,
Target,457.03,Shopping,Citi Rewards,2013-05-22 08:02:15,
Shell,916.28,Travel,Chase Sapphire Preferred,2025-01-28 15:12:45,
Utilities Co,12.66,Services,Amex Gold,2021-09-12 00:48:55,
Local Shop,74.48,Other,Amex Gold,2021-11-03 13:03:35,Fuel
Spotify,53.74,Services,UOB One,2019-07-06 14:48:57,Weekend trip
Phone Carrier,71.88,Services,UOB One,2022-08-26 19:28:16,
